ParamName,ParamValue,TimeStamp,UeCRNTI
CellDLMACRate,3078,1.58E+12,0
DLOccupyPRBNum,0,1.58E+12,0
ULSINR,28159,1.58E+12,416
DLMACRate,1638,1.58E+12,416
MCS,17,1.58E+12,416
PDCPOccupBuffer,-1,1.58E+12,416
PDCPUnusedBuffer,16382,1.58E+12,416
DLPacketDiscardNum,-1,1.58E+12,416
DLPDCPLossNum,-1,1.58E+12,416
DLPDCPSDUNum,-1,1.58E+12,416
DLOccupyPRBNum,4,1.58E+12,0
CellDLMACRate,3406,1.58E+12,0
DLMACRate,1966,1.58E+12,416
ULSINR,26623,1.58E+12,416
MCS,17,1.58E+12,416
PDCPOccupBuffer,-1,1.58E+12,416
PDCPUnusedBuffer,16382,1.58E+12,416
DLPacketDiscardNum,-1,1.58E+12,416
DLPDCPLossNum,-1,1.58E+12,416
DLPDCPSDUNum,-1,1.58E+12,416
DLOccupyPRBNum,0,1.58E+12,0
CellDLMACRate,3734,1.58E+12,0
ULSINR,27647,1.58E+12,416
DLMACRate,2294,1.58E+12,416
MCS,17,1.58E+12,416
PDCPOccupBuffer,-1,1.58E+12,416
PDCPUnusedBuffer,16382,1.58E+12,416
DLPacketDiscardNum,-1,1.58E+12,416
DLPDCPLossNum,-1,1.58E+12,416
DLPDCPSDUNum,-1,1.58E+12,416
DLOccupyPRBNum,0,1.58E+12,0
CellDLMACRate,1766,1.58E+12,0
ULSINR,-1,1.58E+12,416
DLMACRate,326,1.58E+12,416
MCS,17,1.58E+12,416
PDCPOccupBuffer,-1,1.58E+12,416
PDCPUnusedBuffer,16382,1.58E+12,416
DLPacketDiscardNum,-1,1.58E+12,416
DLPDCPLossNum,-1,1.58E+12,416
DLPDCPSDUNum,-1,1.58E+12,416
CellDLMACRate,2798,1.58E+12,0
DLOccupyPRBNum,0,1.58E+12,0
ULSINR,27135,1.58E+12,416
DLMACRate,1638,1.58E+12,416
MCS,17,1.58E+12,416
PDCPOccupBuffer,-1,1.58E+12,416
PDCPUnusedBuffer,16382,1.58E+12,416
DLPacketDiscardNum,-1,1.58E+12,416
DLPDCPLossNum,-1,1.58E+12,416
DLPDCPSDUNum,-1,1.58E+12,416
DLOccupyPRBNum,4,1.58E+12,0
CellDLMACRate,3734,1.58E+12,0
ULSINR,26623,1.58E+12,416
DLMACRate,2294,1.58E+12,416
MCS,17,1.58E+12,416
PDCPOccupBuffer,-1,1.58E+12,416
PDCPUnusedBuffer,16382,1.58E+12,416
DLPacketDiscardNum,-1,1.58E+12,416
DLPDCPLossNum,-1,1.58E+12,416
DLPDCPSDUNum,-1,1.58E+12,416
CellDLMACRate,2750,1.58E+12,0
DLOccupyPRBNum,0,1.58E+12,0
ULSINR,28159,1.58E+12,416
DLMACRate,1310,1.58E+12,416
MCS,17,1.58E+12,416
PDCPOccupBuffer,-1,1.58E+12,416
PDCPUnusedBuffer,16382,1.58E+12,416
DLPacketDiscardNum,-1,1.58E+12,416
DLPDCPSDUNum,-1,1.58E+12,416
DLPDCPLossNum,-1,1.58E+12,416
DLOccupyPRBNum,0,1.58E+12,0
CellDLMACRate,3078,1.58E+12,0
ULSINR,26111,1.58E+12,416
DLMACRate,1638,1.58E+12,416
MCS,17,1.58E+12,416
PDCPOccupBuffer,-1,1.58E+12,416
PDCPUnusedBuffer,8190,1.58E+12,416
DLPacketDiscardNum,-1,1.58E+12,416
DLPDCPLossNum,-1,1.58E+12,416
DLPDCPSDUNum,-1,1.58E+12,416
CellDLMACRate,2654,1.58E+12,0
DLOccupyPRBNum,0,1.58E+12,0
ULSINR,27135,1.58E+12,416
DLMACRate,654,1.58E+12,416
MCS,17,1.58E+12,416
PDCPOccupBuffer,-1,1.58E+12,416
PDCPUnusedBuffer,16382,1.58E+12,416
DLPacketDiscardNum,-1,1.58E+12,416
DLPDCPLossNum,-1,1.58E+12,416
DLPDCPSDUNum,-1,1.58E+12,416
CellDLMACRate,3078,1.58E+12,0
DLOccupyPRBNum,4,1.58E+12,0
ULSINR,28159,1.58E+12,416
DLMACRate,1638,1.58E+12,416
MCS,17,1.58E+12,416
PDCPOccupBuffer,-1,1.58E+12,416
PDCPUnusedBuffer,16382,1.58E+12,416
DLPacketDiscardNum,-1,1.58E+12,416
DLPDCPLossNum,-1,1.58E+12,416
DLPDCPSDUNum,-1,1.58E+12,416
CellDLMACRate,2094,1.58E+12,0
DLOccupyPRBNum,0,1.58E+12,0
ULSINR,23551,1.58E+12,416
DLMACRate,654,1.58E+12,416
MCS,17,1.58E+12,416
PDCPOccupBuffer,-1,1.58E+12,416
PDCPUnusedBuffer,16382,1.58E+12,416
DLPacketDiscardNum,-1,1.58E+12,416
DLPDCPLossNum,-1,1.58E+12,416
DLPDCPSDUNum,-1,1.58E+12,416
DLOccupyPRBNum,0,1.58E+12,0
CellDLMACRate,1766,1.58E+12,0
ULSINR,-1,1.58E+12,416
DLMACRate,326,1.58E+12,416
MCS,17,1.58E+12,416
PDCPOccupBuffer,-1,1.58E+12,416
PDCPUnusedBuffer,16382,1.58E+12,416
DLPacketDiscardNum,-1,1.58E+12,416
DLPDCPLossNum,-1,1.58E+12,416
DLPDCPSDUNum,-1,1.58E+12,416
DLOccupyPRBNum,0,1.58E+12,0
CellDLMACRate,3310,1.58E+12,0
ULSINR,25599,1.58E+12,416
DLMACRate,1310,1.58E+12,416
MCS,17,1.58E+12,416
PDCPOccupBuffer,-1,1.58E+12,416
PDCPUnusedBuffer,16382,1.58E+12,416
DLPacketDiscardNum,-1,1.58E+12,416
DLPDCPLossNum,-1,1.58E+12,416
DLPDCPSDUNum,-1,1.58E+12,416
CellDLMACRate,2750,1.58E+12,0
DLOccupyPRBNum,4,1.58E+12,0
ULSINR,27135,1.58E+12,416
DLMACRate,1310,1.58E+12,416
MCS,17,1.58E+12,416
PDCPOccupBuffer,-1,1.58E+12,416
PDCPUnusedBuffer,16382,1.58E+12,416
DLPacketDiscardNum,-1,1.58E+12,416
DLPDCPSDUNum,-1,1.58E+12,416
DLPDCPLossNum,-1,1.58E+12,416
DLOccupyPRBNum,0,1.58E+12,0
CellDLMACRate,1766,1.58E+12,0
ULSINR,-1,1.58E+12,416
DLMACRate,326,1.58E+12,416
MCS,17,1.58E+12,416
PDCPOccupBuffer,-1,1.58E+12,416
PDCPUnusedBuffer,16382,1.58E+12,416
DLPacketDiscardNum,-1,1.58E+12,416
DLPDCPLossNum,-1,1.58E+12,416
DLPDCPSDUNum,-1,1.58E+12,416
DLOccupyPRBNum,0,1.58E+12,0
CellDLMACRate,2886,1.58E+12,0
ULSINR,-1,1.58E+12,416
DLMACRate,326,1.58E+12,416
MCS,17,1.58E+12,416
PDCPOccupBuffer,-1,1.58E+12,416
PDCPUnusedBuffer,16382,1.58E+12,416
DLPacketDiscardNum,-1,1.58E+12,416
DLPDCPLossNum,-1,1.58E+12,416
DLPDCPSDUNum,-1,1.58E+12,416
CellDLMACRate,1766,1.58E+12,0
DLOccupyPRBNum,0,1.58E+12,0
ULSINR,-1,1.58E+12,416
DLMACRate,326,1.58E+12,416
MCS,17,1.58E+12,416
PDCPOccupBuffer,-1,1.58E+12,416
PDCPUnusedBuffer,16382,1.58E+12,416
DLPacketDiscardNum,-1,1.58E+12,416
DLPDCPLossNum,-1,1.58E+12,416
DLPDCPSDUNum,-1,1.58E+12,416
CellDLMACRate,2326,1.58E+12,0
DLOccupyPRBNum,4,1.58E+12,0
ULSINR,-1,1.58E+12,416
DLMACRate,326,1.58E+12,416
MCS,17,1.58E+12,416
PDCPOccupBuffer,-1,1.58E+12,416
PDCPUnusedBuffer,16382,1.58E+12,416
DLPacketDiscardNum,-1,1.58E+12,416
DLPDCPLossNum,-1,1.58E+12,416
DLPDCPSDUNum,-1,1.58E+12,416
CellDLMACRate,2654,1.58E+12,0
DLOccupyPRBNum,0,1.58E+12,0
ULSINR,27647,1.58E+12,416
DLMACRate,654,1.58E+12,416
MCS,17,1.58E+12,416
PDCPOccupBuffer,-1,1.58E+12,416
PDCPUnusedBuffer,16382,1.58E+12,416
DLPacketDiscardNum,-1,1.58E+12,416
DLPDCPLossNum,-1,1.58E+12,416
DLPDCPSDUNum,-1,1.58E+12,416
CellDLMACRate,2654,1.58E+12,0
DLOccupyPRBNum,0,1.58E+12,0
ULSINR,27647,1.58E+12,416
DLMACRate,654,1.58E+12,416
MCS,17,1.58E+12,416
